Date,realConsGrowth,RealSP500,realIr
1959-02-01,0.014823530632293025,-0.011404574131540834,0.00671300204762626
1959-03-01,0.009963122748223086,0.02476561117990439,0.0032657003754898994
1959-04-01,-0.005054491250551241,0.012894277874009763,-8.973966305370062e-05
1959-05-01,0.01241461114024034,0.014605978260869623,0.003522610585598107
1959-06-01,0.0031791524911413127,-0.011610449404464096,9.804491562870332e-05
1959-07-01,-0.004688396897859715,0.03509276920409232,0.0001577681356648153
1959-08-01,0.007523546459998531,-0.005524861878453136,0.0036187656874400176
1959-09-01,0.008996001990175806,-0.04151776751656289,0.00039276133457843976
1959-10-01,-0.007734831227395933,-0.004078627713402727,0.0002848760442384357
1959-11-01,0.00030974136843564537,0.003910234614076691,0.0036988176007033413
1959-12-01,0.0,0.03116003386960209,0.003826754761650397
1960-01-01,0.005572665741721217,-0.012901348988860861,0.007276834706244184
1960-02-01,0.001832489973355056,-0.04033706971937345,0.0002529725920505932
1960-03-01,0.014950698006721996,-0.012482662968099856,0.003474495003497502
1960-04-01,0.015504028597616681,0.009032803275566437,9.686594649860325e-05
1960-05-01,-0.01950549462425677,-0.008670019074041857,0.0035546735478100278
1960-06-01,-0.003081113585619022,0.03218412132615378,4.400502015888819e-06
1960-07-01,0.003930466133315047,-0.023982435399425683,0.0031933138078821255
1960-08-01,0.000603318268677544,0.011593701332410333,0.0031128168457330574
1960-09-01,0.005413547055553636,-0.02907971262401632,0.0031128168457330574
1960-10-01,-0.0007531531089295385,-0.02561119230387221,-0.0035475197206342735
1960-11-01,0.0,0.03125,0.003217449047942411
1960-12-01,-0.012299540083258176,0.02316266109369547,0.0031450241575170512
1961-01-01,0.0027128878733444495,0.04970212765957438,0.0031450241575170512
1961-02-01,0.0045051885781339784,0.039565428895735444,0.003096708923229885
1961-03-01,0.011915541634193616,0.030416471689284075,0.0030644845397465037
1961-04-01,-0.00029616466972015587,0.02588555858310637,0.003096708923229885
1961-05-01,0.0067896939802682965,0.009886380404308559,0.0030403087768253734
1961-06-01,0.0029377224417870273,-0.012857977790765585,0.0031772200986699417
1961-07-01,-0.007569399066066129,-0.009166173278073786,-0.003478658020268255
1961-08-01,0.00773322502048579,0.038332751849787794,0.006661428419368454
1961-09-01,0.0033617793045022104,-0.010764745244240648,-8.653194078711568e-05
1961-10-01,0.006079046076382433,0.010979485697775404,0.0032094046775821283
1961-11-01,0.009764580743683915,0.04429837096313216,0.0032254927088173346
1961-12-01,0.007119494688382133,0.009304871373836843,0.003321961347044766
1962-01-01,0.002267574667780714,-0.036062906724511956,0.0033380295383023117
1962-02-01,-0.0010653456887053103,0.012798407558490155,-2.735183590985013e-05
1962-03-01,0.009558689591553371,0.0011072664359863538,0.003217449047942411
1962-04-01,0.0011500331369571626,-0.03404008302637951,-0.00017664810790507524
1962-05-01,0.008321823337492429,-0.07218259629101265,0.0031691721789193217
1962-06-01,-0.004429686091588447,-0.11300738007380073,0.003201359597605702
1962-07-01,-0.0005349357105544073,0.020023375192433246,-2.9382504746156002e-05
1962-08-01,0.004141936060896523,0.026253387533875294,0.0032576602600797866
1962-09-01,0.01283228156656202,-0.01167901599186949,-4.252941182825154e-05
1962-10-01,-0.006255970355732998,-0.030126498002662983,0.003217449047942411
1962-11-01,0.014088555976500494,0.06658657971511905,0.0032094046775821283
1962-12-01,0.005098629051481396,0.04215607401448107,0.0031611235488977485
1963-01-01,0.00213903824874917,0.03751736915238557,0.0031369733958956925
1963-02-01,-0.002674513495815045,0.012797619047619113,0.0032094046775821283
1963-03-01,0.0009917196615987223,-0.006793427207430147,-7.178848991973297e-05
1963-04-01,0.0037263817408139666,0.04585667944559124,0.003249619435838458
1963-05-01,0.0021231430480779245,0.0195967855632313,0.003217449047942411
1963-06-01,0.008586083646912268,-0.0034057963155764703,-1.2945704168543237e-05
1963-07-01,0.0037860717101372288,-0.0175930000986525,2.177146524817708e-05
1963-08-01,0.004930592576098292,0.026939806370141817,0.0032737397821989145
1963-09-01,-0.0020730766688514812,0.025549938516190585,0.0033380295383023117
1963-10-01,-0.0019558589249308866,-0.0005908692959051276,0.00010445727711827502
1963-11-01,0.008769723473268431,-0.0050491629019397966,0.0033701574315379013
1963-12-01,0.01027739580653142,0.017662780405498735,0.00013100903623941562
1964-01-01,0.005306392741916355,0.03008502289077808,0.003410301391423509
1964-02-01,0.008532046738915167,0.01206349206349211,0.0033942459274463044
1964-03-01,0.003990030231201036,0.01794228356336247,0.0034504276924163246
1964-04-01,0.0024857084635732107,0.014298040182423088,0.003458450834976645
1964-05-01,0.013806925446103069,0.00960019443431781,0.003434379290046863
1964-06-01,0.004087870346899614,-0.008744777672511694,0.00017349396758015168
1964-07-01,0.005250935419923497,0.032978631490705235,0.00019990273084635746
1964-08-01,0.009946558864349697,-0.010834821529488892,0.006663213236526522
1964-09-01,-0.0058575573763004485,0.013669213266084279,0.00020790218622046552
1964-10-01,0.007175347695270506,0.017006406523005113,0.0034263540299781514
1964-11-01,-0.010865815411576385,0.0037590783209844325,0.00017823872896083337
1964-12-01,0.010986496941567836,-0.016606005459508744,0.0034183280638138136
1965-01-01,0.008043573057446185,0.025213971778857314,0.0034263540299781514
1965-02-01,0.01635932721522826,0.0072202166064980755,0.003442403844149622
1965-03-01,0.0011945920601368343,-0.0020783949981105776,0.00023651756988707362
1965-04-01,0.0055418777553049026,0.00975224939533903,0.00023872840058825062
1965-05-01,0.0011432492385026194,0.01468963993814909,0.003442403844149622
1965-06-01,-0.011848783244697625,-0.05197286203813056,-0.0029084974460031887
